,index,City,year,Region,slope,intercept,R2,R2_adj,mean,trending
0,0,Aabenraa,2017,Syddanmark,-0.04741953385127629,7.970079185520367,0.1901618012715559,0.17396503729698698,6.713461538461539,0
1,1,Aabenraa,2018,Syddanmark,0.2048487791342952,2.369824660633486,0.6160464777616474,0.6083674073168803,7.798317307692307,1
2,2,Aabenraa,2019,Syddanmark,0.05048169089512054,7.753843582887701,0.1591563510904539,0.142339478112263,9.091608391608391,0
3,3,Aabenraa,2020,Syddanmark,0.4036657986852217,7.317279411764706,0.8050987834281534,0.8012007590967165,18.014423076923077,1
4,4,Aabenraa,2021,Syddanmark,0.3896373842090024,17.774630614657205,0.7455331124017063,0.7400012235408737,27.320746527777782,1
5,5,Aabybro,2017,Nordjylland,0.14054255954921865,2.6491798642533975,0.32742166515014015,0.31397009845314294,6.37355769230769,0
6,6,Aabybro,2018,Nordjylland,0.2820077051139758,0.17270927601810349,0.5471033257671478,0.5380453922824908,7.64591346153846,1
7,7,Aabybro,2019,Nordjylland,0.09371798429095876,9.172963800904977,0.1612554907380056,0.14448060055276568,11.656490384615381,0
8,8,Aabybro,2020,Nordjylland,0.08018879782198327,14.558704122674719,0.062243616409621394,0.04348848873781386,16.68370726495726,0
9,9,Aabybro,2021,Nordjylland,0.34331148682877377,15.597288711583914,0.5175663862793383,0.5070786990245413,24.00842013888889,1
10,10,Aalborg,2017,Nordjylland,0.02528280542986432,5.951640271493215,0.1497080722300217,0.13270223367462208,6.6216346153846155,0
11,11,Aalborg,2018,Nordjylland,0.22697697003329623,3.049773755656111,0.6961078790373123,0.6900300366180585,9.06466346153846,1
12,12,Aalborg,2019,Nordjylland,0.043512016562793535,10.231306561085976,0.15294871216271877,0.13600768640597316,11.384375000000002,0
13,13,Aalborg,2020,Nordjylland,0.20229712712370881,10.490808823529418,0.7292196002490015,0.7238039922539814,15.851682692307692,1
14,14,Aalborg,2021,Nordjylland,0.32173641265016606,15.495270390070914,0.8437491761414722,0.8403524191010694,23.3778125,1
15,15,Aalestrup,2017,Nordjylland,0.0,0.0,,,0.0,0
16,16,Aalestrup,2018,Nordjylland,0.0,0.0,,,0.0,0
17,17,Aalestrup,2019,Nordjylland,0.0,0.0,,,0.0,0
18,18,Aalestrup,2020,Nordjylland,0.0,0.0,,,0.0,0
19,19,Aalestrup,2021,Nordjylland,0.0,0.0,,,0.0,0
20,20,Aarhus,2017,Midtjylland,0.0011538752590363327,8.120973879062117,0.00026486503856537613,-0.019729837660663385,8.151551573426573,0
21,21,Aarhus,2018,Midtjylland,0.21066344934200087,3.7901830155139007,0.6906126241995785,0.6844248766835701,9.372764423076921,1
22,22,Aarhus,2019,Midtjylland,0.06555918184664043,10.705115635997988,0.27956082456778675,0.2651520410591425,12.442433954933954,0
23,23,Aarhus,2020,Midtjylland,0.21740422991116695,11.151008672699849,0.7343994336580177,0.7290874223311781,16.912220765345765,1
24,24,Aarhus,2021,Midtjylland,0.2775210775799678,17.253268321513,0.7503886932022223,0.7449623604457489,24.052534722222223,1
25,25,Aars,2017,Nordjylland,-0.005174272176214237,7.017647058823529,0.0007262830631796779,-0.019259191275556642,6.8805288461538465,0
26,26,Aars,2018,Nordjylland,0.1605417057969778,3.3480486425339384,0.53958250325431,0.5303741533193962,7.602403846153846,1
27,27,Aars,2019,Nordjylland,0.0265383548194316,6.9609162895927605,0.033775265606238336,0.01445077091836311,7.664182692307692,0
28,28,Aars,2020,Nordjylland,0.1700733159737045,7.424547511312219,0.45943319521482184,0.4486218591191182,11.931490384615385,1
29,29,Aars,2021,Nordjylland,0.14452873968736413,13.038889627659568,0.5643978914683792,0.5549282804133439,16.57984375,1
30,30,Aarup,2017,Syddanmark,0.0,0.0,,,0.0,0
31,31,Aarup,2018,Syddanmark,0.0,0.0,,,0.0,0
32,32,Aarup,2019,Syddanmark,0.0,0.0,,,0.0,0
33,33,Aarup,2020,Syddanmark,0.0,0.0,,,0.0,0
34,34,Aarup,2021,Syddanmark,0.0,0.0,,,0.0,0
35,35,Agedrup,2017,Syddanmark,0.0,0.0,,,0.0,0
36,36,Agedrup,2018,Syddanmark,0.0,0.0,,,0.0,0
37,37,Agedrup,2019,Syddanmark,0.0,0.0,,,0.0,0
38,38,Agedrup,2020,Syddanmark,0.0,0.0,,,0.0,0
39,39,Agedrup,2021,Syddanmark,0.0,0.0,,,0.0,0
40,40,Allingåbro,2017,Midtjylland,0.0,0.0,,,0.0,0
41,41,Allingåbro,2018,Midtjylland,0.0,0.0,,,0.0,0
42,42,Allingåbro,2019,Midtjylland,0.0,0.0,,,0.0,0
43,43,Allingåbro,2020,Midtjylland,0.0,0.0,,,0.0,0
44,44,Allingåbro,2021,Midtjylland,0.0,0.0,,,0.0,0
45,45,Ansager,2017,Syddanmark,0.03873260479808763,5.312528280542987,0.08931611291377639,0.07110243517205195,6.3389423076923075,0
46,46,Ansager,2018,Syddanmark,0.1655836463758215,1.3185237556561136,0.35324783028621165,0.3403127868919359,5.706490384615382,0
47,47,Ansager,2019,Syddanmark,0.03518671949582047,4.837044940353767,0.10612659263209134,0.0882491244847331,5.769493006993007,0
48,48,Ansager,2020,Syddanmark,0.29960567318364223,5.42372423328306,0.5669227992152029,0.558261255199507,13.363274572649575,1
49,49,Ansager,2021,Syddanmark,0.3402970762773193,11.612374408983442,0.6457065707165907,0.6380045396452121,19.949652777777775,1
50,50,Arden,2017,Nordjylland,0.0,0.0,,,0.0,0
51,51,Arden,2018,Nordjylland,0.0,0.0,,,0.0,0
52,52,Arden,2019,Nordjylland,0.0,0.0,,,0.0,0
53,53,Arden,2020,Nordjylland,0.0,0.0,,,0.0,0
54,54,Arden,2021,Nordjylland,0.0,0.0,,,0.0,0
55,55,Aulum,2017,Midtjylland,0.0,0.0,,,0.0,0
56,56,Aulum,2018,Midtjylland,0.0,0.0,,,0.0,0
57,57,Aulum,2019,Midtjylland,0.0,0.0,,,0.0,0
58,58,Aulum,2020,Midtjylland,0.0,0.0,,,0.0,0
59,59,Aulum,2021,Midtjylland,0.0,0.0,,,0.0,0
60,60,Auning,2017,Midtjylland,0.0,0.0,,,0.0,0
61,61,Auning,2018,Midtjylland,0.0,0.0,,,0.0,0
62,62,Auning,2019,Midtjylland,0.0,0.0,,,0.0,0
63,63,Auning,2020,Midtjylland,0.0,0.0,,,0.0,0
64,64,Auning,2021,Midtjylland,0.0,0.0,,,0.0,0
65,65,Bagsværd,2017,Hovedstaden,-0.07276210193801735,12.115214932126698,0.20511138065696743,0.1892136082701068,10.18701923076923,0
66,66,Bagsværd,2018,Hovedstaden,0.22874477076752314,5.640667420814486,0.4799693392188187,0.469568726003195,11.702403846153846,1
67,67,Bagsværd,2019,Hovedstaden,-0.0765709041236231,19.20172511312218,0.09447711407797077,0.07636665635953022,17.17259615384615,0
68,68,Bagsværd,2020,Hovedstaden,0.31169931083221886,15.408371040723985,0.7468387217166926,0.7417754961510266,23.668402777777775,1
69,69,Bagsværd,2021,Hovedstaden,0.3025772543059773,20.321058658392428,0.587705736842866,0.5787428180785804,27.73420138888889,1
70,70,Ballerup,2017,Hovedstaden,0.013731537607786382,7.6000565610859745,0.020096495680492987,0.000498425594102847,7.963942307692307,0
71,71,Ballerup,2018,Hovedstaden,0.1752977460940835,4.3964366515837145,0.6252858397668506,0.6177915565621876,9.041826923076922,1
72,72,Ballerup,2019,Hovedstaden,-0.09156279347733279,10.585067873303164,0.525985606459258,0.5165053185884432,8.158653846153847,1
73,73,Ballerup,2020,Hovedstaden,0.2599029924016052,6.2142533936651585,0.816871342445663,0.8132087692945762,13.101682692307692,1
74,74,Ballerup,2021,Hovedstaden,0.39317294470979847,15.76073507683215,0.8666705760981195,0.863772110361122,25.393472222222226,1
