"","Area_ID","Area_name.x","year","pop","pop_density"
"115","217-10172","Helsingør (del af flere kommuner)","2017",47032,2627.6
"116","217-10194","Espergærde (del af flere kommuner)","2017",0,0
"117","217-12974","Langesø","2017",226,254.5
"118","217-15244","Saunte","2017",1240,1176.5
"119","217-70078","Stenstrup","2017",0,0
"120","217-99997","Uden fast bopæl","2017",143,0
"121","217-99999","Landdistrikter","2017",2412,26.8
"122","219-00219","Hillerød Kommune","2017",0,0
"123","219-10076","Skævinge","2017",2631,2216.5
"124","219-10232","Store Lyngby","2017",837,2312.2
"125","219-10233","Meløse","2017",642,2140
"126","219-10291","Gørløse","2017",1147,1905.3
"127","219-10292","Nørre Herlev","2017",430,1653.8
"128","219-10299","Uvelse","2017",980,1987.8
"129","219-10650","Alsønderup","2017",541,1498.6
"130","219-10651","Gadevang","2017",1125,1348.9
"131","219-10652","Hillerød (del af flere kommuner)","2017",32270,1851.8
"132","219-10700","Nødebo","2017",2040,1565.6
"133","219-10808","Ny Hammersholt","2017",1307,2466
"134","219-12960","Brødeskov","2017",211,2089.1
"135","219-13387","Ny Harløse","2017",204,1522.4
"136","219-18409","Tulstrup","2017",1207,2095.5
"137","219-99997","Uden fast bopæl","2017",142,0
"138","219-99999","Landdistrikter","2017",4395,23.3
"139","223-00223","Hørsholm Kommune","2017",0,0
"140","223-10289","Trørød (del af flere kommuner)","2017",0,0
"141","223-10303","Hørsholm (del af flere kommuner)","2017",24457,2137.7
"142","223-99997","Uden fast bopæl","2017",66,0
"143","223-99999","Landdistrikter","2017",454,22.9
"144","230-00230","Rudersdal Kommune","2017",0,0
"145","230-01100","Rudersdal (del af Hovedstadsområdet)","2017",19878,2128.7
"146","230-10220","Høsterkøb","2017",320,665.3
"147","230-10241","Birkerød (del af flere kommuner)","2017",20541,2263.5
"148","230-10287","Skodsborg","2017",1245,3167.9
"149","230-10289","Trørød (del af flere kommuner)","2017",0,0
"150","230-10301","Ravnsnæs","2017",611,2071.2
"151","230-10302","Brådebæk","2017",0,0
"152","230-10303","Hørsholm (del af flere kommuner)","2017",12722,1795.9
"153","230-99997","Uden fast bopæl","2017",107,0
"154","230-99999","Landdistrikter","2017",709,15.2
"155","240-00240","Egedal Kommune","2017",0,0
"156","240-10030","Tangbjerg","2017",574,2352.5
"157","240-10208","Ganløse","2017",2895,2349.8
"158","240-10223","Smørumnedre (del af flere kommuner)","2017",9699,2653.6
"159","240-10224","Stenløse","2017",0,0
"160","240-10225","Søsum","2017",321,1834.3
"161","240-10273","Ledøje","2017",823,1936.5
"162","240-10999","Ølstykke St.","2017",0,0
"163","240-11047","Slagslunde","2017",908,1883.8
"164","240-11263","Smørumovre","2017",0,0
"165","240-18361","Veksø","2017",1892,2567.2
"166","240-18767","Ølstykke-Stenløse","2017",21635,2212.4
"167","240-70316","Buresø","2017",505,545.4
"168","240-99997","Uden fast bopæl","2017",53,0
"169","240-99999","Landdistrikter","2017",3777,34.9
"170","250-00250","Frederikssund Kommune","2017",0,0
"171","250-10012","Dalby","2017",316,2038.7
"172","250-10013","Skibby","2017",3191,1738
"173","250-10014","Skuldelev","2017",882,1837.5
"174","250-10177","Ferslev","2017",256,1049.2
"175","250-10178","Kyndby","2017",272,1203.5
"176","250-10179","Venslev","2017",239,827
"177","250-10190","Slangerup","2017",6864,2117.9
"178","250-10235","Græse Bakkeby","2017",2314,3169.9
"179","250-10236","Jægerspris","2017",4226,1534.5
"180","250-10305","Sønderby","2017",295,1031.5
"181","250-10680","Gerlev","2017",775,1645.4
"182","250-10681","Landerslev","2017",254,1854
"183","250-10682","Lyngerup","2017",233,1063.9
"184","250-10683","Frederikssund","2017",16186,1982.4
"185","250-10684","Jørlunde","2017",306,1436.6
"186","250-10698","Kyndby Huse","2017",301,1447.1
"187","250-10998","Store Rørbæk","2017",568,1938.6
"188","250-15744","Vellerup","2017",459,276.3
"189","250-17169","Græse","2017",207,1427.6
"190","250-70269","Dalby Huse","2017",279,326.3
"191","250-70271","Kulhuse","2017",908,203.3
"192","250-70310","Over Dråby Strand","2017",409,294
"193","250-99997","Uden fast bopæl","2017",71,0
"194","250-99999","Landdistrikter","2017",5225,23.7
"195","253-00253","Greve Kommune","2017",0,0
"196","253-01100","Greve Strand (del af Hovedstadsområdet)","2017",42701,1953.4
"197","253-10184","Greve","2017",718,1471.3
"198","253-10321","Tune","2017",5250,2130.7
"199","253-11260","Kildebrønde","2017",357,1040.8
"200","253-99997","Uden fast bopæl","2017",133,0
"201","253-99999","Landdistrikter","2017",762,21.6
"202","259-00259","Køge Kommune","2017",0,0
"203","259-10041","Vemmedrup","2017",1663,1242
"204","259-10042","Borup","2017",4628,1775.2
"205","259-10047","Ejby","2017",3142,1811
"206","259-10048","Lellinge","2017",698,1727.7
"207","259-10075","Algestrup","2017",887,1777.6
"208","259-10198","Slimminge","2017",481,1693.7
"209","259-10199","Bjæverskov","2017",2995,1574.7
"210","259-10244","Nørre Dalby","2017",548,2099.6
"211","259-10313","Køge","2017",36864,1987.7
"212","259-10316","Vedskølle (del af flere kommuner)","2017",283,1080.2
"213","259-10946","Lille Skensved (del af flere kommuner)","2017",1551,1485.6
"214","259-10947","Gørslev","2017",0,0
"215","259-99997","Uden fast bopæl","2017",175,0
"216","259-99999","Landdistrikter","2017",6194,27.2
"217","260-00260","Halsnæs Kommune","2017",0,0
"218","260-10077","Frederiksværk","2017",12368,1499.7
"219","260-10192","Liseleje","2017",2556,426.3
"220","260-10230","Vinderød","2017",1052,1582
"221","260-10234","Ølsted","2017",1926,1879
"222","260-10699","Hundested","2017",8588,1131.3
"223","260-15663","Torup","2017",355,1207.5
"224","260-18953","Melby","2017",805,1132.2
"225","260-70012","Evetofte","2017",374,357.9
"226","260-70015","Melby","2017",0,0
"227","260-70124","Ølsted Strandhuse","2017",217,542.5
"228","260-70259","Ølsted Sydstrand","2017",304,322
"229","260-99997","Uden fast bopæl","2017",142,0
"230","260-99999","Landdistrikter","2017",2475,26
"231","265-00265","Roskilde Kommune","2017",0,0
"232","265-10015","Gundsømagle","2017",2584,2260.7
"233","265-10033","Ågerup","2017",1495,2192.1
"234","265-10034","Store Valby","2017",421,1776.4
"235","265-10035","Veddelev","2017",1146,1959
"236","265-10038","Svogerslev","2017",4379,2222.8
"237","265-10040","Roskilde","2017",50393,2324.4
"238","265-10185","Jyllinge","2017",10207,1882.9
"239","265-10260","Herringløse","2017",390,1274.5
"240","265-10856","Gadstrup","2017",1957,1244.9
"241","265-10888","Vindinge","2017",2450,2317.9
"242","265-10889","Vor Frue","2017",720,1777.8
"243","265-10942","Havdrup (del af flere kommuner)","2017",2,1000
"244","265-10943","Snoldelev","2017",647,1494.2
"245","265-10944","Viby","2017",4659,1787.8
"246","265-12961","Assendløse","2017",0,0
"247","265-12970","Gundsølille","2017",278,911.5
"248","265-99997","Uden fast bopæl","2017",200,0
