,City id,City,Region,Region id,Lower bound,Upper bound
541,615091,Skævinge,Capital Region of Denmark,4133,1000,1000
542,615772,"Spentrup, Arhus, Denmark",Central Denmark Region,4131,1100,1300
543,615870,"Stenderup, Vejle, Denmark",Region of Southern Denmark,4134,1000,1000
544,615880,Stenlille,Zealand Region,4132,1000,1000
545,616462,"Toftlund, Sonderjylland, Denmark",Region of Southern Denmark,4134,1000,1000
546,616671,"Trige, Arhus, Denmark",Central Denmark Region,4131,1000,1000
547,617343,"Vipperød, Vestsjalland, Denmark",Zealand Region,4132,1000,1000
548,608560,Ærøskøbing,Region of Southern Denmark,4134,1000,1000
549,613922,Ølgod,Region of Southern Denmark,4134,1000,1000
550,616116,"Suldrup, Nordjylland, Denmark",North Denmark Region,851,1000,1000
551,608661,"Allingåbro, Arhus, Denmark",Central Denmark Region,4131,1000,1000
552,610761,"Glumsø, Storstrom, Denmark",Zealand Region,4132,1000,1000
553,613938,Ølsted,Capital Region of Denmark,4133,1000,1000
554,608978,"Bandholm, Storstrom, Denmark",Zealand Region,4132,1000,1000
555,609080,"Bindslev, Nordjylland, Denmark",North Denmark Region,851,1000,1000
556,613211,"Marslev, Fyn, Denmark",Region of Southern Denmark,4134,1000,1000
557,616387,Tinglev,Region of Southern Denmark,4134,1000,1000
558,611549,"Højslev, Viborg, Denmark",Central Denmark Region,4131,1000,1000
559,611693,"Hørve, Vestsjalland, Denmark",Zealand Region,4132,1000,1000
560,611485,"Hjortshøj, Arhus, Denmark",Central Denmark Region,4131,1000,1000
561,614654,"Rødkærsbro, Viborg, Denmark",Central Denmark Region,4131,1000,1000
