,municipality,up_until_year,count_of_stations,plugs,closest_in_meters,closest_in_meters_std
517,Kolding,2019,12,49,2291.0833333333335,3101.85168915523
518,København,2019,154,845,423.18831168831167,384.19740244501537
519,Køge,2019,7,78,673.0,804.9391281333018
520,Langeland,2019,5,12,8065.4,4684.4365509632
521,Lejre,2019,1,4,,
522,Lemvig,2019,3,8,1559.3333333333333,203.06238778595443
523,Lolland,2019,5,19,6364.2,4096.8651674176435
524,Lyngby-Taarbæk,2019,9,50,539.7777777777778,534.2945764692399
525,Læsø,2019,2,7,1171.0,926.3098833543772
526,Mariagerfjord,2019,10,23,2477.5,2371.1880402494908
527,Middelfart,2019,13,55,863.6153846153846,752.3815010198769
528,Morsø,2019,6,27,2671.5,3730.0449193005707
529,Norddjurs,2019,3,8,821.3333333333334,298.97380041290126
530,Nordfyns,2019,1,2,,
531,Nyborg,2019,8,39,342.25,376.8174055731199
532,Næstved,2019,3,21,555.6666666666666,54.85739087245523
533,Odder,2019,2,6,483.0,0.0
534,Odense,2019,25,85,970.28,1108.6007516985846
535,Odsherred,2019,2,4,15992.5,15322.296841531299
536,Randers,2019,15,84,1377.5333333333333,1856.5617556065708
537,Rebild,2019,8,58,1825.75,2830.362003601054
538,Ringkøbing-Skjern,2019,10,33,4917.0,3633.273975050296
539,Ringsted,2019,3,8,124.33333333333333,32.331615074619044
540,Roskilde,2019,12,50,1130.75,1695.646678730834
541,Rudersdal,2019,13,44,1068.1538461538462,978.2429696615803
542,Rødovre,2019,4,23,40.25,17.858238061652855
543,Samsø,2019,5,8,2916.2,2385.3868030153935
544,Silkeborg,2019,23,47,1858.2608695652175,2543.620633831577
545,Skanderborg,2019,11,49,4358.272727272727,4482.098372211594
546,Skive,2019,3,10,342.6666666666667,178.99813779292046
547,Slagelse,2019,13,70,905.0,1617.4169736548047
548,Sorø,2019,4,16,8344.75,11211.742099989042
549,Stevns,2019,3,5,5482.666666666667,3078.5596199088513
550,Struer,2019,1,2,,
551,Svendborg,2019,15,39,1413.8,2124.6170478465056
552,Syddjurs,2019,11,29,3329.4545454545455,2587.9509409429056
553,Sønderborg,2019,22,100,1023.7727272727273,1138.7070333462457
554,Thisted,2019,35,57,2942.2571428571428,2719.1592595858733
555,Tårnby,2019,9,51,498.55555555555554,347.4403226135069
556,Tønder,2019,7,13,5227.142857142857,5112.746568742722
557,Varde,2019,10,20,3942.0,4178.613885010195
558,Vejen,2019,4,7,4391.0,5893.493417886089
559,Vejle,2019,22,70,2597.7272727272725,2512.653088097428
560,Vesthimmerlands,2019,12,33,1565.0833333333333,2632.4017190782374
561,Viborg,2019,14,48,3491.3571428571427,6165.783992912236
562,Vordingborg,2019,12,32,2675.0833333333335,2502.34978509594
563,Ærø,2019,1,1,,
564,Aabenraa,2020,17,118,1478.235294117647,3412.4747531925377
565,Aalborg,2020,37,132,1537.2162162162163,3801.414576875993
566,Aarhus,2020,67,280,1083.2238805970148,1205.7991292197626
567,Albertslund,2020,6,16,713.5,456.3721069478283
568,Allerød,2020,1,4,,
569,Assens,2020,7,23,3651.4285714285716,2398.047946222292
570,Ballerup,2020,9,44,915.8888888888889,851.6194050813492
571,Billund,2020,17,66,1744.5294117647059,2965.7108363267453
572,Bornholm,2020,22,61,2038.5454545454545,3263.309184121056
573,Brøndby,2020,3,10,1350.6666666666667,282.07150393709276
574,Brønderslev,2020,7,30,4662.0,3834.2568597665268
575,Dragør,2020,3,16,767.6666666666666,217.08600446213322
576,Egedal,2020,5,28,1781.2,1620.7073147240374
577,Esbjerg,2020,15,44,10271.2,29243.85461743568
578,Faaborg-Midtfyn,2020,3,10,3640.6666666666665,4056.2894784930395
579,Fanø,2020,1,4,,
580,Favrskov,2020,4,4,6026.25,3726.789447142585
581,Faxe,2020,6,17,5659.166666666667,3001.9540580539647
582,Fredensborg,2020,5,14,64762.0,141276.8677508813
583,Fredericia,2020,12,48,855.0,794.3410076054467
584,Frederiksberg,2020,30,168,325.06666666666666,259.4422310734469
585,Frederikshavn,2020,17,47,2100.470588235294,3409.709612225927
586,Frederikssund,2020,10,27,2473.3,4598.865924213152
587,Furesø,2020,9,49,707.1111111111111,762.7405267265606
588,Gentofte,2020,15,55,891.3333333333334,704.6155655661428
589,Gladsaxe,2020,11,34,613.0909090909091,435.88036306891706
590,Glostrup,2020,8,26,935.875,986.6874505130792
591,Greve,2020,8,41,1943.125,1666.369230007049
592,Gribskov,2020,6,11,1905.5,1280.9322776790348
593,Guldborgsund,2020,13,47,3211.846153846154,4909.904646836397
594,Haderslev,2020,12,48,3864.0,4959.953188928665
595,Halsnæs,2020,4,10,4720.25,7387.54421870579
596,Hedensted,2020,8,61,4312.25,3681.2239715305873
597,Helsingør,2020,6,17,1954.3333333333333,3098.5956604027356
598,Herlev,2020,6,25,1018.3333333333334,758.2257359564279
599,Herning,2020,11,43,5911.272727272727,4923.031506925567
600,Hillerød,2020,12,41,766.75,826.7591850109679
601,Hjørring,2020,22,83,2336.318181818182,3699.220180194529
602,Holbæk,2020,8,36,2786.0,2895.1636025817756
603,Holstebro,2020,9,32,777.4444444444445,520.3523112063381
604,Horsens,2020,19,44,705.8947368421053,656.7081116140178
605,Hvidovre,2020,5,20,998.4,545.5871149504908
606,Høje Taastrup,2020,15,91,605.2,469.4098422487538
607,Hørsholm,2020,3,18,861.0,659.1820689308835
608,Ikast-Brande,2020,4,18,751.25,643.8505908464582
609,Ishøj,2020,3,8,804.0,1054.8990473026317
610,Jammerbugt,2020,15,43,1896.0,2693.2988800248027
611,Kalundborg,2020,8,29,4690.25,5640.80887690004
612,Kerteminde,2020,2,2,4548.5,3922.3213152417793
613,Kolding,2020,18,68,1921.4444444444443,2635.9162537402485
614,København,2020,196,1107,423.7704081632653,378.9318771627546
615,Køge,2020,8,79,792.625,818.4418885907539
616,Langeland,2020,5,12,8065.4,4684.4365509632
617,Lejre,2020,2,6,10570.5,4496.4920215652555
618,Lemvig,2020,3,8,1559.3333333333333,203.06238778595443
619,Lolland,2020,6,21,5661.166666666667,4048.824343765319
620,Lyngby-Taarbæk,2020,10,51,625.9,572.644828842451
621,Læsø,2020,3,8,3362.3333333333335,3851.6036054263595
622,Mariagerfjord,2020,12,27,2339.75,2188.9094472320726
623,Middelfart,2020,13,55,863.6153846153846,752.3815010198769
624,Morsø,2020,7,29,2615.5714285714284,3408.263284878036
625,Norddjurs,2020,5,10,791.4,344.06801653161546
626,Nordfyns,2020,1,2,,
627,Nyborg,2020,9,43,307.8888888888889,367.24462026163314
628,Næstved,2020,5,25,2250.6,3815.2018033126374
629,Odder,2020,2,6,483.0,0.0
630,Odense,2020,27,93,925.2962962962963,1079.2397543147895
631,Odsherred,2020,3,8,12078.666666666666,12780.479816240599
632,Randers,2020,16,90,1371.375,1793.7782053531591
633,Rebild,2020,9,61,2467.8888888888887,3274.24214301739
634,Ringkøbing-Skjern,2020,16,54,3974.125,3883.997474681637
635,Ringsted,2020,5,11,2013.0,3375.2048826700875
636,Roskilde,2020,17,67,1534.4705882352941,2704.2066562498294
637,Rudersdal,2020,15,50,986.5333333333333,932.1364758037364
638,Rødovre,2020,6,27,713.5,1044.406194926093
639,Samsø,2020,5,8,2916.2,2385.3868030153935
640,Silkeborg,2020,27,60,1794.111111111111,2384.594149202387
641,Skanderborg,2020,14,56,3550.4285714285716,4259.14069907364
642,Skive,2020,3,10,342.6666666666667,178.99813779292046
643,Slagelse,2020,13,70,905.0,1617.4169736548047
644,Sorø,2020,4,16,8344.75,11211.742099989042
645,Stevns,2020,4,7,4594.5,3077.9397330032307
646,Struer,2020,3,5,235.66666666666666,261.30505799416386
647,Svendborg,2020,17,44,1249.3529411764705,2040.9011472011719
648,Syddjurs,2020,18,42,3618.6666666666665,2451.936713510123
649,Sønderborg,2020,32,125,2034.3125,4684.950872035595
650,Thisted,2020,38,65,2846.5263157894738,2642.9459887195503
651,Tårnby,2020,12,58,762.3333333333334,622.1856392564599
652,Tønder,2020,8,15,4723.375,4943.290689336984
653,Varde,2020,14,26,3600.214285714286,4035.309447262358
654,Vejen,2020,5,15,3514.2,5467.525921292006
655,Vejle,2020,24,74,2508.5,2426.7539242155663
656,Vesthimmerlands,2020,12,33,1565.0833333333333,2632.4017190782374
657,Viborg,2020,28,80,2199.964285714286,4573.756268766916
658,Vordingborg,2020,13,36,2948.153846153846,2590.235344717858
659,Ærø,2020,1,1,,
660,Aabenraa,2021,25,131,2331.12,3996.9624958627437
661,Aalborg,2021,46,154,1538.8478260869565,3689.8555465094128
662,Aarhus,2021,100,378,1157.33,1291.039140273126
663,Albertslund,2021,8,24,747.875,598.9680262155664
664,Allerød,2021,2,7,5724.0,2719.5326804434617
665,Assens,2021,21,55,3111.6666666666665,2508.9149314660576
666,Ballerup,2021,17,81,843.1764705882352,740.9448558508013
667,Billund,2021,21,74,1525.3333333333333,2696.430721033517
668,Bornholm,2021,30,81,1696.9333333333334,2854.3091190560344
669,Brøndby,2021,4,13,1277.0,273.4044622898463
670,Brønderslev,2021,7,30,4662.0,3834.2568597665268
671,Dragør,2021,4,17,718.25,202.94231528523898
672,Egedal,2021,7,36,1331.4285714285713,1530.6791365428676
673,Esbjerg,2021,30,142,9682.066666666668,28800.684359605228
674,Faaborg-Midtfyn,2021,5,17,3179.6,3400.117468558991
675,Fanø,2021,1,4,,
676,Favrskov,2021,8,9,5069.625,3537.195537125018
677,Faxe,2021,6,17,5659.166666666667,3001.9540580539647
678,Fredensborg,2021,5,14,64762.0,141276.8677508813
679,Fredericia,2021,18,72,999.7777777777778,956.3198797569256
680,Frederiksberg,2021,48,288,340.5,250.40962186666118
681,Frederikshavn,2021,27,69,2171.4074074074074,3490.217177056457
682,Frederikssund,2021,12,31,2861.8333333333335,4679.474753612521
683,Furesø,2021,11,52,1205.090909090909,1310.7798026019057
684,Gentofte,2021,19,64,905.6315789473684,656.4180756640386
685,Gladsaxe,2021,20,89,618.85,384.7731081258696
686,Glostrup,2021,12,42,761.3333333333334,849.2987838460764
687,Greve,2021,9,43,1748.888888888889,1664.1024941724927
688,Gribskov,2021,8,14,2300.75,1328.084738045194
689,Guldborgsund,2021,27,78,3831.6296296296296,4949.844155651989
690,Haderslev,2021,17,54,3619.0588235294117,4518.725061765048
691,Halsnæs,2021,4,10,4720.25,7387.54421870579
692,Hedensted,2021,9,63,4897.777777777777,3865.6265591032516
693,Helsingør,2021,12,43,1610.5833333333333,2388.6730610161453
694,Herlev,2021,7,29,914.1428571428571,745.0356654933661
695,Herning,2021,17,63,4295.470588235294,4539.9440266049405
696,Hillerød,2021,16,70,789.3125,759.3207243978002
697,Hjørring,2021,25,91,2446.44,3647.093215607922
698,Holbæk,2021,14,54,2244.8571428571427,2311.0152566531265
699,Holstebro,2021,21,83,3101.904761904762,5646.471631955322
700,Horsens,2021,24,62,810.75,774.6914252448042
701,Hvidovre,2021,9,38,1134.5555555555557,925.8037198984339
702,Høje Taastrup,2021,18,102,593.0,445.4825539595832
703,Hørsholm,2021,6,29,954.8333333333334,654.6820347822802
704,Ikast-Brande,2021,10,26,2722.6,5617.273205628036
705,Ishøj,2021,4,9,1694.5,1978.3416455877045
706,Jammerbugt,2021,18,47,2238.4444444444443,2883.752482285012
707,Kalundborg,2021,10,35,4995.0,5761.07839056389
708,Kerteminde,2021,5,11,4787.4,2769.7050926046263
709,Kolding,2021,20,71,1800.7,2520.9529756152056
710,København,2021,264,1490,389.8030303030303,358.66933921890427
711,Køge,2021,15,109,1276.1333333333334,2353.910207859821
712,Langeland,2021,7,15,5761.428571428572,5487.421430178381
713,Lejre,2021,3,14,9815.333333333334,3438.030007625491
714,Lemvig,2021,6,17,1625.3333333333333,216.1468636521628
715,Lolland,2021,8,25,5724.0,4044.132433891989
716,Lyngby-Taarbæk,2021,17,112,658.1176470588235,599.3659026789209
717,Læsø,2021,4,10,4458.0,3832.9938690271865
718,Mariagerfjord,2021,16,35,1995.4375,1981.3918329884507
719,Middelfart,2021,22,82,1554.590909090909,2477.6955625875025
720,Morsø,2021,10,34,3188.7,3659.995963871484
721,Norddjurs,2021,7,17,3981.1428571428573,8632.431454087766
722,Nordfyns,2021,3,7,12974.0,5616.351217650122
723,Nyborg,2021,14,60,946.4285714285714,1877.4700945804586
724,Næstved,2021,9,33,3421.222222222222,3592.88340952562
725,Odder,2021,4,14,538.25,79.69682135024793
726,Odense,2021,46,214,887.8260869565217,902.1599834557019
727,Odsherred,2021,9,21,5348.777777777777,8326.990989814054
728,Randers,2021,22,104,2099.0,2429.5312501052736
729,Rebild,2021,11,64,2343.3636363636365,2987.976481591757
730,Ringkøbing-Skjern,2021,33,94,2936.4242424242425,3411.523780056932
731,Ringsted,2021,9,17,3092.1111111111113,3696.537685606778
732,Roskilde,2021,20,79,1348.25,2523.0317784885624
733,Rudersdal,2021,19,90,928.2631578947369,858.7750217674568
734,Rødovre,2021,7,33,992.0,1204.9575372877946
735,Samsø,2021,6,9,2480.5,2385.5949153198662
736,Silkeborg,2021,40,105,1775.35,2555.602217652777
737,Skanderborg,2021,18,65,2919.722222222222,3932.6480198096065
738,Skive,2021,6,22,1208.6666666666667,1357.2462807709833
739,Slagelse,2021,21,97,758.6190476190476,1315.6603846050268
740,Sorø,2021,7,24,7641.0,8621.7850239959
741,Stevns,2021,4,7,4594.5,3077.9397330032307
742,Struer,2021,9,39,440.55555555555554,563.8262389936972
743,Svendborg,2021,22,56,1490.6818181818182,2431.597033234461
744,Syddjurs,2021,21,48,3456.714285714286,2395.413766823117
745,Sønderborg,2021,38,142,2225.7631578947367,4518.809993040266
746,Thisted,2021,44,76,2716.818181818182,2537.8753453428208
747,Tårnby,2021,14,64,843.5,655.1112354167274
748,Tønder,2021,20,34,2205.55,3720.4418735159034
749,Varde,2021,22,43,6923.727272727273,16946.05340817012
750,Vejen,2021,7,25,4168.857142857143,5690.9378673048095
751,Vejle,2021,43,155,1853.4418604651162,2412.2792847698606
752,Vesthimmerlands,2021,14,36,1453.5714285714287,2442.4603520689075
753,Viborg,2021,33,92,2272.4242424242425,4487.754686577013
754,Vordingborg,2021,18,45,2550.9444444444443,2459.2863735889446
755,Ærø,2021,3,5,350.3333333333333,345.5102506921225
