,municipality,up_until_year,count_of_stations,plugs,closest_in_meters,closest_in_meters_std
130,Frederikshavn,2015,4,12,4024.25,6738.754948059767
131,Frederikssund,2015,3,11,280.3333333333333,119.7260762462937
132,Furesø,2015,1,8,,
133,Gentofte,2015,3,14,720.6666666666666,323.14908839935373
134,Glostrup,2015,3,11,380.6666666666667,314.71468560163083
135,Greve,2015,4,21,1438.5,1711.659331370196
136,Gribskov,2015,1,4,,
137,Guldborgsund,2015,3,21,1290.3333333333333,683.2000683060076
138,Haderslev,2015,4,13,4747.25,4307.418126519257
139,Halsnæs,2015,1,1,,
140,Helsingør,2015,1,2,,
141,Herlev,2015,2,10,958.5,14.849242404917497
142,Herning,2015,2,10,1322.0,309.7127701597078
143,Hillerød,2015,4,10,481.5,450.41795405304765
144,Hjørring,2015,4,38,980.75,989.0960098325473
145,Holbæk,2015,5,20,1662.0,2935.914423139748
146,Holstebro,2015,3,12,380.6666666666667,273.1159704838466
147,Horsens,2015,5,18,961.8,910.2591389269321
148,Høje Taastrup,2015,4,26,791.0,650.6022850661788
149,Hørsholm,2015,1,4,,
150,Ikast-Brande,2015,1,1,,
151,Ishøj,2015,2,5,1115.0,1282.691701072397
152,Jammerbugt,2015,1,3,,
153,Kalundborg,2015,3,15,264.0,12.12435565298214
154,Kolding,2015,6,25,2974.6666666666665,3770.9827719928217
155,København,2015,57,333,362.6140350877193,304.40895626876943
156,Køge,2015,4,65,982.75,986.8922180258593
157,Lolland,2015,2,8,2036.0,166.87720036002523
158,Lyngby-Taarbæk,2015,6,30,410.6666666666667,157.9856533570902
159,Mariagerfjord,2015,3,5,1320.0,314.1989815387695
160,Middelfart,2015,4,29,556.5,1072.345870820915
161,Morsø,2015,1,6,,
162,Norddjurs,2015,2,7,649.0,24.041630560342615
163,Nyborg,2015,2,16,151.5,173.24116139070415
164,Næstved,2015,3,21,555.6666666666666,54.85739087245523
165,Odder,2015,1,3,,
166,Odense,2015,8,40,791.375,551.7569178801217
167,Odsherred,2015,1,3,,
168,Randers,2015,9,63,1767.888888888889,2297.9592274692586
169,Rebild,2015,2,8,4257.0,5870.400497410717
170,Ringkøbing-Skjern,2015,3,8,3205.6666666666665,4760.589179222813
171,Ringsted,2015,2,5,115.0,39.59797974644666
172,Roskilde,2015,4,25,644.0,310.1870403482389
173,Rudersdal,2015,3,5,952.6666666666666,1381.5991941707746
174,Rødovre,2015,1,2,,
175,Samsø,2015,2,4,3517.0,2097.2787129993
176,Silkeborg,2015,4,8,1212.25,1380.4843051142113
177,Skanderborg,2015,4,23,2980.0,4450.932112116143
178,Skive,2015,2,5,444.5,43.1335136523794
179,Slagelse,2015,8,27,584.375,775.02349042741
180,Sorø,2015,3,14,10298.0,12871.038341952059
181,Svendborg,2015,1,5,,
182,Syddjurs,2015,2,4,493.0,0.0
183,Sønderborg,2015,7,21,941.4285714285714,1626.1933932902791
184,Thisted,2015,28,45,2715.25,2379.5939526796647
185,Tårnby,2015,2,12,188.5,137.88582233137677
186,Tønder,2015,2,5,520.0,473.76154339498686
187,Varde,2015,1,2,,
188,Vejen,2015,1,2,,
189,Vejle,2015,12,42,2821.5833333333335,2893.214898166
190,Vesthimmerlands,2015,1,3,,
191,Viborg,2015,4,13,1581.25,2112.536607177889
192,Vordingborg,2015,3,9,2756.3333333333335,2612.9929837895343
193,Aabenraa,2016,10,58,2050.6,4422.586050918374
194,Aalborg,2016,15,53,698.0666666666667,820.1124022845602
195,Aarhus,2016,34,158,1230.235294117647,1384.9484195366929
196,Albertslund,2016,1,4,,
197,Allerød,2016,1,4,,
198,Assens,2016,4,17,2629.25,1328.9237186535577
199,Ballerup,2016,4,16,507.5,551.7369542333255
200,Billund,2016,3,12,828.3333333333334,310.53233862728905
201,Bornholm,2016,7,20,452.57142857142856,379.25974263155376
202,Brønderslev,2016,2,4,1808.0,2367.393503412561
203,Dragør,2016,3,16,767.6666666666666,217.08600446213322
204,Esbjerg,2016,9,32,14012.666666666666,37932.16939485534
205,Faaborg-Midtfyn,2016,2,8,4174.5,5585.436464592539
206,Favrskov,2016,1,1,,
207,Faxe,2016,2,4,7756.0,837.2144289248723
208,Fredensborg,2016,1,3,,
209,Fredericia,2016,4,14,748.75,525.2106720164776
210,Frederiksberg,2016,18,90,252.22222222222223,120.81904580845423
211,Frederikshavn,2016,6,20,2707.8333333333335,5604.268709355991
212,Frederikssund,2016,4,12,313.25,117.85690476166427
213,Furesø,2016,1,8,,
214,Gentofte,2016,4,20,555.0,423.5547977141407
215,Gladsaxe,2016,1,3,,
216,Glostrup,2016,3,11,380.6666666666667,314.71468560163083
217,Greve,2016,4,21,1438.5,1711.659331370196
218,Gribskov,2016,3,8,1788.0,1117.4403787227309
219,Guldborgsund,2016,6,31,2892.3333333333335,4856.3302468702295
220,Haderslev,2016,5,19,3884.6,4199.549178185678
221,Halsnæs,2016,1,1,,
222,Hedensted,2016,2,10,8114.5,4202.335600591652
223,Helsingør,2016,3,9,529.6666666666666,291.5207253924381
224,Herlev,2016,2,10,958.5,14.849242404917497
225,Herning,2016,3,15,5427.333333333333,7114.017594393012
226,Hillerød,2016,4,10,481.5,450.41795405304765
227,Hjørring,2016,9,51,952.8888888888889,673.5026808492385
228,Holbæk,2016,5,20,1662.0,2935.914423139748
229,Holstebro,2016,5,21,604.2,449.7084611167551
230,Horsens,2016,8,23,751.125,756.2625087513311
231,Hvidovre,2016,1,6,,
232,Høje Taastrup,2016,5,30,874.2,593.3579863792178
233,Hørsholm,2016,2,10,913.0,923.481456229631
234,Ikast-Brande,2016,1,1,,
235,Ishøj,2016,2,5,1115.0,1282.691701072397
236,Jammerbugt,2016,3,6,819.3333333333334,239.3372794475055
237,Kalundborg,2016,4,16,1937.75,3347.5146377573915
238,Kerteminde,2016,1,1,,
239,Kolding,2016,9,39,2925.777777777778,3374.5242545349183
240,København,2016,107,618,419.57943925233644,345.87815602976514
241,Køge,2016,5,73,798.4,948.8897723128857
242,Lejre,2016,1,4,,
243,Lolland,2016,4,13,5202.0,3657.0953865966726
244,Lyngby-Taarbæk,2016,7,34,625.0,585.1247730185418
245,Læsø,2016,1,3,,
246,Mariagerfjord,2016,3,5,1320.0,314.1989815387695
247,Middelfart,2016,7,36,913.0,965.2350318273092
248,Morsø,2016,2,14,982.0,453.96255352176354
249,Norddjurs,2016,3,8,821.3333333333334,298.97380041290126
250,Nordfyns,2016,1,2,,
251,Nyborg,2016,6,33,393.6666666666667,415.7507265978818
252,Næstved,2016,3,21,555.6666666666666,54.85739087245523
253,Odder,2016,2,6,483.0,0.0
254,Odense,2016,13,55,1204.923076923077,1440.506476992176
255,Odsherred,2016,1,3,,
256,Randers,2016,10,68,1608.1,2224.681173162173
257,Rebild,2016,4,14,3323.5,3556.556902398723
258,Ringkøbing-Skjern,2016,5,16,3798.2,4395.076927654395
259,Ringsted,2016,2,5,115.0,39.59797974644666
260,Roskilde,2016,6,29,723.6666666666666,383.30388292667567
261,Rudersdal,2016,4,11,1251.0,1276.1486329316556
262,Rødovre,2016,1,2,,
263,Samsø,2016,2,4,3517.0,2097.2787129993
264,Silkeborg,2016,5,12,1085.6,1228.6186552384756
265,Skanderborg,2016,4,23,2980.0,4450.932112116143
266,Skive,2016,2,5,444.5,43.1335136523794
267,Slagelse,2016,12,58,908.25,1689.2925967021602
268,Sorø,2016,4,16,8344.75,11211.742099989042
269,Stevns,2016,2,4,7259.0,151.32085117392117
270,Svendborg,2016,6,17,1723.1666666666667,2276.597673429951
271,Syddjurs,2016,4,10,1936.0,1742.8662216781488
