,City,Municipality,Region,year,FB_audience_size_lower_bound,FB_audience_size_upper_bound,Trends_slope,Trends_intercept,Trends_regression_R2,Trends_regression_R2_adj,Trends_mean,Trends_is_trending,DST_EV_population,DST_population_size,DST_population_density,Plugshare_count_of_stations,Plugshare_count_of_plugs,Plugshare_closest_in_meters,Plugshare_closest_in_meters_std
26,Hvalsø,Lejre Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,214.0,,,3.0,14.0,9815.333333333334,3438.030007625491
27,Hvalsø,Lejre Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,214.0,,,3.0,14.0,9815.333333333334,3438.030007625491
28,Herfølge,Køge Kommune,Region Sjælland,2021,1000.0,1100.0,,,,,,,337.0,,,15.0,109.0,1276.1333333333334,2353.910207859821
29,Lellinge,Køge Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,337.0,699.0,1730.2,15.0,109.0,1276.1333333333334,2353.910207859821
30,Hårlev,Stevns Kommune,Region Sjælland,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,140.0,2780.0,1399.8,4.0,7.0,4594.5,3077.9397330032307
31,Vindinge,Roskilde Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,569.0,2896.0,2364.1,20.0,79.0,1348.25,2523.0317784885624
32,Karlslunde,Greve Kommune,Region Sjælland,2021,1200.0,1400.0,0.1524189463019245,29.200110815602827,0.3516563486674817,0.3375619214646008,32.934375,0.0,332.0,,,9.0,43.0,1748.888888888889,1664.1024941724927
33,Svogerslev,Roskilde Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,569.0,4261.0,2162.9,20.0,79.0,1348.25,2523.0317784885624
34,Kirke Hyllinge,Lejre Kommune,Region Sjælland,2021,1000.0,1000.0,0.1919301364162682,24.451444296690298,0.2746120656454306,0.258842762724679,29.153732638888886,0.0,214.0,2228.0,1558.0,3.0,14.0,9815.333333333334,3438.030007625491
35,Havdrup,Solrød Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,179.0,4396.0,1964.3,,,,
36,Solrød,Solrød Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,179.0,506.0,1533.3,,,,
37,Osted,Lejre Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,214.0,2172.0,1450.9,3.0,14.0,9815.333333333334,3438.030007625491
38,Viby,Roskilde Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,0.0,569.0,4727.0,1800.1,20.0,79.0,1348.25,2523.0317784885624
39,Gadstrup,Roskilde Kommune,Region Sjælland,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,569.0,2016.0,1282.4,20.0,79.0,1348.25,2523.0317784885624
40,Borup,Køge Kommune,Region Sjælland,2021,1000.0,1000.0,0.4024678860906059,20.75540484633569,0.4621373520902583,0.4504446858313508,30.61586805555556,1.0,337.0,4699.0,1802.5,15.0,109.0,1276.1333333333334,2353.910207859821
41,Ågerup,Roskilde Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,569.0,1569.0,2251.1,20.0,79.0,1348.25,2523.0317784885624
42,Silkeborg,Silkeborg Kommune,Region Midtjylland,2021,7100.0,8300.0,0.3567908253727017,16.171975472813237,0.8476346048256174,0.8443223136261743,24.913350694444446,1.0,403.0,48369.0,1684.5,40.0,105.0,1775.35,2555.602217652777
43,Skive,Skive Kommune,Region Midtjylland,2021,6400.0,7600.0,0.3043148881893179,12.799649822695033,0.838827487935963,0.8353237376737013,20.25536458333333,1.0,96.0,20401.0,1371.9,6.0,22.0,1208.6666666666667,1357.2462807709833
44,Slagelse,Slagelse Kommune,Region Sjælland,2021,5800.0,6900.0,0.3278606708640899,16.184809397163118,0.543664336303137,0.5337439957879878,24.217395833333335,1.0,232.0,34118.0,2098.4,21.0,97.0,758.6190476190476,1315.6603846050268
45,Svendborg,Svendborg Kommune,Region Syddanmark,2021,4300.0,5000.0,0.3395963598205237,10.017840573286042,0.8409920031170501,0.8375353075326382,18.33795138888889,1.0,266.0,27054.0,1983.1,22.0,56.0,1490.6818181818182,2431.597033234461
46,Sønderborg,Sønderborg Kommune,Region Syddanmark,2021,4200.0,4900.0,0.2129225919091038,20.602858303782497,0.4897484635536823,0.4786560388483275,25.81946180555556,1.0,263.0,27702.0,2073.5,38.0,142.0,2225.7631578947367,4518.809993040266
47,Gråsten,Sønderborg Kommune,Region Syddanmark,2021,1000.0,1100.0,0.3075096341728177,22.44488549054373,0.4567531096143126,0.444943394605928,29.97887152777778,1.0,263.0,4228.0,1235.2,38.0,142.0,2225.7631578947367,4518.809993040266
48,Taastrup,Høje-Taastrup Kommune,Region Hovedstaden,2021,5100.0,6000.0,0.0731020679548414,18.953843085106374,0.0639397116863998,0.0435905749839302,20.74484375,0.0,166.0,34698.0,2590.4,18.0,102.0,593.0,445.4825539595832
49,Høje Tåstrup,Høje-Taastrup Kommune,Region Hovedstaden,2021,2400.0,2800.0,,,,,,,166.0,,,18.0,102.0,593.0,445.4825539595832
50,Vejle,Vejle Kommune,Region Syddanmark,2021,8100.0,9600.0,0.3012193334780716,17.96970966312056,0.753638056415298,0.7482823619895436,25.34958333333334,1.0,500.0,58777.0,1763.6,43.0,155.0,1853.441860465116,2412.2792847698606
51,Bredballe,Vejle Kommune,Region Syddanmark,2021,1600.0,1800.0,,,,,,,500.0,,,43.0,155.0,1853.441860465116,2412.2792847698606
52,Ejstrupholm,Ikast-Brande Kommune,Region Midtjylland,2021,1000.0,1000.0,,,,,,,129.0,1698.0,1112.0,10.0,26.0,2722.6,5617.273205628036
53,Uldum,Hedensted Kommune,Region Midtjylland,2021,1000.0,1000.0,,,,,,,155.0,1398.0,878.1,9.0,63.0,4897.777777777777,3865.626559103252
54,Snoghøj,Fredericia Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,182.0,0.0,0.0,18.0,72.0,999.7777777777778,956.3198797569256
55,Stouby,Hedensted Kommune,Region Midtjylland,2021,1000.0,1000.0,,,,,,,155.0,865.0,1404.2,9.0,63.0,4897.777777777777,3865.626559103252
56,Viuf,Kolding Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,347.0,540.0,1483.5,20.0,71.0,1800.7,2520.9529756152056
57,Flemming,Hedensted Kommune,Region Midtjylland,2021,1000.0,1000.0,,,,,,,155.0,,,9.0,63.0,4897.777777777777,3865.626559103252
58,Almind,Kolding Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,347.0,1673.0,1625.9,20.0,71.0,1800.7,2520.9529756152056
59,Tørring,Hedensted Kommune,Region Midtjylland,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,155.0,2890.0,1323.9,9.0,63.0,4897.777777777777,3865.626559103252
60,Vandel,Vejle Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,500.0,758.0,1311.4,43.0,155.0,1853.441860465116,2412.2792847698606
61,Skibet,Vejle Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,500.0,2460.0,1706.0,43.0,155.0,1853.441860465116,2412.2792847698606
62,Grejs,Vejle Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,500.0,1268.0,1465.9,43.0,155.0,1853.441860465116,2412.2792847698606
63,Egebjerg,Horsens Kommune,Region Midtjylland,2021,1000.0,1000.0,,,,,,,286.0,3067.0,1996.7,24.0,62.0,810.75,774.6914252448042
64,Ballerup,Ballerup Kommune,Region Hovedstaden,2021,5200.0,6100.0,0.3931729447097984,15.76073507683215,0.8666705760981195,0.863772110361122,25.393472222222226,1.0,194.0,40221.0,2562.7,17.0,81.0,843.1764705882352,740.9448558508013
65,Haderslev,Haderslev Kommune,Region Syddanmark,2021,4000.0,4700.0,0.3605260348820375,14.235098256501178,0.7411778163486991,0.7355512471388881,23.06798611111111,1.0,138.0,22032.0,1817.7,17.0,54.0,3619.058823529412,4518.725061765048
66,Herning,Herning Kommune,Region Midtjylland,2021,7600.0,8900.0,0.1936684035316251,12.114360224586283,0.4696766767108021,0.4581479088132109,16.859236111111112,1.0,264.0,50531.0,1542.9,17.0,63.0,4295.470588235294,4539.9440266049405
67,Kastrup,Tårnby Kommune,Region Hovedstaden,2021,1500.0,1800.0,0.1032471233174115,23.55377881205673,0.1460799054040761,0.1275164250867733,26.08333333333333,0.0,166.0,,,14.0,64.0,843.5,655.1112354167274
68,Lillerød,Allerød Kommune,Region Hovedstaden,2021,1000.0,1000.0,0.2360604827037194,21.38853206264774,0.4340231674369573,0.4217193232508042,27.172013888888888,1.0,230.0,16762.0,2253.9,2.0,7.0,5724.0,2719.5326804434617
69,Brovst,Jammerbugt Kommune,Region Nordjylland,2021,1000.0,1200.0,0.0986778567810101,18.650152925531906,0.140494692137277,0.1218097941402612,21.067760416666665,0.0,108.0,2696.0,1148.2,18.0,47.0,2238.4444444444443,2883.752482285012
70,Brøndby,Brøndby Kommune,Region Hovedstaden,2021,5400.0,6300.0,0.1718578122738455,16.467955821513,0.5385997804445131,0.5285693408889589,20.678472222222226,1.0,89.0,34984.0,2666.7,4.0,13.0,1277.0,273.4044622898463
71,Brøndbyvester,Brøndby Kommune,Region Hovedstaden,2021,1600.0,1900.0,,,,,,,89.0,,,4.0,13.0,1277.0,273.4044622898463
72,Esbjerg,Esbjerg Kommune,Region Syddanmark,2021,10700.0,12600.0,0.2790345020987115,12.33320330969267,0.8352023971829733,0.8316198405999944,19.16954861111111,1.0,254.0,72044.0,1652.1,30.0,142.0,9682.066666666668,28800.684359605228
73,Glostrup,Glostrup Kommune,Region Hovedstaden,2021,2500.0,3000.0,0.1501248823997681,20.071714686761226,0.2910495096393642,0.2756375424576113,23.74977430555556,0.0,88.0,23274.0,2731.4,12.0,42.0,761.3333333333334,849.2987838460764
74,Hvidovre,Hvidovre Kommune,Region Hovedstaden,2021,7000.0,8300.0,0.2309482649442751,19.877583481087463,0.5265564517322346,0.5162642006829353,25.535815972222224,1.0,170.0,53433.0,2853.4,9.0,38.0,1134.5555555555557,925.803719898434
75,Næstved,Næstved Kommune,Region Sjælland,2021,7000.0,8200.0,0.2393614307425093,13.89585328014184,0.4635272575561014,0.451864806633408,19.76020833333333,1.0,318.0,43890.0,2024.9,9.0,33.0,3421.222222222222,3592.88340952562
76,Rødovre,Rødovre Kommune,Region Hovedstaden,2021,5100.0,5900.0,0.1282078177015484,19.336286938534272,0.3297623933653617,0.3151920106124347,22.477378472222217,0.0,147.0,41007.0,3652.9,7.0,33.0,992.0,1204.9575372877946
77,Fredericia,Fredericia Kommune,Region Syddanmark,2021,6300.0,7400.0,0.302625199015776,14.954606235224578,0.762694044040086,0.7575352189105227,22.36892361111111,1.0,182.0,40814.0,1505.8,18.0,72.0,999.7777777777778,956.3198797569256
78,Hillerød,Hillerød Kommune,Region Hovedstaden,2021,4900.0,5700.0,0.3265562581415541,17.928173758865242,0.5597424874478174,0.5501716719575525,25.92880208333333,1.0,341.0,33698.0,1927.4,16.0,70.0,789.3125,759.3207243978002
79,Skanderborg,Skanderborg Kommune,Region Midtjylland,2021,2400.0,2800.0,0.4496796298306551,19.685088652482264,0.8326341473515945,0.8289957592505421,30.70223958333333,1.0,387.0,19599.0,1779.3,18.0,65.0,2919.722222222222,3932.6480198096074
80,Ry,Skanderborg Kommune,Region Midtjylland,2021,1200.0,1500.0,0.5382313377478645,24.61321069739952,0.6485867252416563,0.6409473062251705,37.79987847222223,1.0,387.0,6886.0,1652.9,18.0,65.0,2919.722222222222,3932.6480198096074
81,Tarm,Ringkøbing-Skjern Kommune,Region Midtjylland,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,127.0,4016.0,1046.9,33.0,94.0,2936.4242424242425,3411.523780056932
82,Aabenraa,Aabenraa Kommune,Region Syddanmark,2021,9000.0,10600.0,0.3896373842090024,17.774630614657205,0.7455331124017063,0.7400012235408737,27.320746527777786,1.0,165.0,16410.0,1709.0,25.0,131.0,2331.12,3996.962495862744
83,Gentofte,Gentofte Kommune,Region Hovedstaden,2021,6600.0,7800.0,0.2917140233753071,19.74187795508274,0.4012961060550967,0.3882808040128161,26.88887152777778,1.0,802.0,74550.0,3117.3,19.0,64.0,905.6315789473684,656.4180756640386
84,Give,Vejle Kommune,Region Syddanmark,2021,1300.0,1500.0,0.1993949468085103,12.010500886524818,0.6933587060601049,0.686692590974455,16.895677083333336,1.0,500.0,4509.0,1050.1,43.0,155.0,1853.441860465116,2412.2792847698606
85,Herlev,Herlev Kommune,Region Hovedstaden,2021,3500.0,4100.0,0.2249521457519175,19.279540484633564,0.4482474867448501,0.4362528668914772,24.790868055555556,1.0,92.0,28870.0,2943.8,7.0,29.0,914.1428571428572,745.0356654933661
86,Holstebro,Holstebro Kommune,Region Midtjylland,2021,5200.0,6100.0,0.2977759534664925,15.293777334515358,0.8345413701737732,0.8309444434384203,22.58928819444445,1.0,133.0,36805.0,1584.3,21.0,83.0,3101.904761904762,5646.471631955322
87,Humlebæk,Fredensborg Kommune,Region Hovedstaden,2021,1000.0,1200.0,0.1737817068316683,19.786011377068554,0.2761842880772136,0.2604491639049791,24.04366319444445,0.0,285.0,9728.0,2340.7,5.0,14.0,64762.0,141276.8677508813
88,Brønderslev,Brønderslev Kommune,Region Nordjylland,2021,5000.0,5800.0,0.3614569764075838,18.03857491134751,0.8174255516112832,0.8134565418637023,26.894270833333334,1.0,120.0,12522.0,1536.1,7.0,30.0,4662.0,3834.256859766527
89,Øster Brønderslev,Brønderslev Kommune,Region Nordjylland,2021,1000.0,1000.0,,,,,,,120.0,924.0,1299.6,7.0,30.0,4662.0,3834.256859766527
90,Greve Strand,Greve Kommune,Region Sjælland,2021,2000.0,2300.0,0.217394521638442,17.98744533096926,0.4626323884138289,0.4509504838141295,23.31361111111111,1.0,332.0,43346.0,1978.7,9.0,43.0,1748.888888888889,1664.1024941724927
91,Frederikshavn,Frederikshavn Kommune,Region Nordjylland,2021,8800.0,10300.0,,,,,,,138.0,22862.0,1687.5,27.0,69.0,2171.4074074074074,3490.217177056457
92,Sæby,Frederikshavn Kommune,Region Nordjylland,2021,1000.0,1000.0,0.2397576078303657,20.88880319148935,0.2770083615438258,0.2612911520121698,26.762864583333336,0.0,138.0,8821.0,1148.4,27.0,69.0,2171.4074074074074,3490.217177056457
93,Hørsholm,Hørsholm Kommune,Region Hovedstaden,2021,3300.0,3800.0,0.0442705167173247,26.6156501182033,0.0232611087443285,0.0020276545865964,27.70027777777777,0.0,250.0,24393.0,2132.1,6.0,29.0,954.8333333333334,654.6820347822802
94,Videbæk,Ringkøbing-Skjern Kommune,Region Midtjylland,2021,1000.0,1000.0,0.5194432985960338,7.516625295508271,0.7938052820448087,0.7893227881762176,20.24298611111111,1.0,127.0,4231.0,1177.2,33.0,94.0,2936.4242424242425,3411.523780056932
95,Mårslet,Aarhus Kommune,Region Midtjylland,2021,1000.0,1000.0,0.4665589719930518,21.9046003250591,0.5108308100882673,0.5001966972640991,33.33529513888889,1.0,1472.0,5014.0,2168.7,100.0,378.0,1157.33,1291.039140273126
96,Holte,Rudersdal Kommune,Region Hovedstaden,2021,1000.0,1000.0,0.2719795285135328,22.223602245862867,0.5831289179845612,0.5740665031581387,28.887100694444445,1.0,805.0,,,19.0,90.0,928.2631578947368,858.7750217674568
97,Gammel Holte,Rudersdal Kommune,Region Hovedstaden,2021,1000.0,1000.0,,,,,,,805.0,,,19.0,90.0,928.2631578947368,858.7750217674568
98,Ringsted,Ringsted Kommune,Region Sjælland,2021,5100.0,6000.0,0.3286603524388475,17.091085254137102,0.4686173214092614,0.4570655240485931,25.143263888888885,1.0,158.0,22941.0,1677.1,9.0,17.0,3092.1111111111118,3696.537685606778
99,Hjørring,Hjørring Kommune,Region Nordjylland,2021,3800.0,4500.0,0.2831014799536833,19.40078457446808,0.7676329444750004,0.7625814867461961,26.336770833333333,1.0,144.0,25741.0,1472.9,25.0,91.0,2446.44,3647.093215607922
100,Hobro,Mariagerfjord Kommune,Region Nordjylland,2021,2500.0,3000.0,0.2863761940946588,15.845033244680844,0.6395488951739567,0.6317130015907819,22.86125,1.0,153.0,12013.0,1251.6,16.0,35.0,1995.4375,1981.3918329884507
