,City,Municipality,Region,year,FB_audience_size_lower_bound,FB_audience_size_upper_bound,Trends_slope,Trends_intercept,Trends_regression_R2,Trends_regression_R2_adj,Trends_mean,Trends_is_trending,DST_EV_population,DST_population_size,DST_population_density,Plugshare_count_of_stations,Plugshare_count_of_plugs,Plugshare_closest_in_meters,Plugshare_closest_in_meters_std
260,Bramming,Esbjerg Kommune,Region Syddanmark,2021,1400.0,1700.0,0.1809394901577649,13.699187352245865,0.3225149967292345,0.3077870618755222,18.13220486111111,0.0,254.0,7132.0,1360.5,30.0,142.0,9682.066666666668,28800.684359605228
263,Jyllinge,Roskilde Kommune,Region Sjælland,2021,1500.0,1700.0,0.420329099724996,21.82023566784869,0.7214203591545914,0.7153642800057781,32.11829861111111,1.0,569.0,10287.0,1893.8,20.0,79.0,1348.25,2523.0317784885624
266,Nibe,Aalborg Kommune,Region Nordjylland,2021,1300.0,1500.0,0.2996872286148499,15.09577053782505,0.4027795054812983,0.3897964512526308,22.43810763888889,1.0,662.0,5302.0,1776.2,46.0,154.0,1538.8478260869565,3689.8555465094128
267,Nivå,Fredensborg Kommune,Region Hovedstaden,2021,1000.0,1200.0,0.2182713218266028,14.625599143025998,0.4699149391484909,0.4583913508691102,19.97324652777778,1.0,285.0,7991.0,2904.8,5.0,14.0,1266.2,1251.4903914932786
268,Otterup,Nordfyns Kommune,Region Syddanmark,2021,1400.0,1600.0,0.3134380427702993,15.790958924349878,0.7835343979284508,0.7788286239703737,23.470190972222223,1.0,88.0,5227.0,1340.3,3.0,7.0,12974.0,5616.351217650122
272,Skælskør,Slagelse Kommune,Region Sjælland,2021,1100.0,1300.0,0.2215353614850191,24.190734338061446,0.3251404602527546,0.3104696006930318,29.618350694444445,0.0,232.0,6440.0,1504.3,21.0,97.0,758.6190476190476,1315.6603846050268
277,Vodskov,Aalborg Kommune,Region Nordjylland,2021,1000.0,1100.0,0.3671399623679253,20.54236258865247,0.6697351522614281,0.6625554816584156,29.537291666666665,1.0,662.0,4603.0,1754.2,46.0,154.0,1538.8478260869565,3689.8555465094128
279,Maribo,Lolland Kommune,Region Sjælland,2021,1000.0,1100.0,0.0,0.0,,,0.0,0.0,76.0,5734.0,1405.7,8.0,25.0,5724.0,4044.132433891989
281,Hadsund,Mariagerfjord Kommune,Region Nordjylland,2021,1100.0,1300.0,0.2895613963670571,13.585172872340422,0.784102065531306,0.7794086321732909,20.679427083333334,1.0,153.0,4943.0,1242.6,16.0,35.0,1995.4375,1981.3918329884507
283,Tønder,Tønder Kommune,Region Syddanmark,2021,1300.0,1500.0,0.6502798885511647,8.832135786052005,0.7692846669812485,0.7642691162634496,24.76399305555556,1.0,80.0,7491.0,1102.6,20.0,34.0,2205.55,3720.441873515904
290,Vallensbæk,Vallensbæk Kommune,Region Hovedstaden,2021,2300.0,2800.0,0.1277062527138513,9.169182919621743,0.0817936447687314,0.0618326370463124,12.29798611111111,0.0,84.0,15957.0,3904.3,,,,
291,Præstø,Vordingborg Kommune,Region Sjælland,2021,1000.0,1200.0,0.3744309505717177,11.854271572104016,0.6332430062190451,0.6252700280933721,21.027829861111112,1.0,154.0,3834.0,1548.5,18.0,45.0,2550.9444444444443,2459.286373588945
294,Farsø,Vesthimmerlands Kommune,Region Nordjylland,2021,1000.0,1200.0,0.3652918747286144,14.99852615248226,0.8317262310034678,0.8280681055904997,23.94817708333333,1.0,109.0,3369.0,1198.9,14.0,36.0,1453.571428571429,2442.4603520689075
315,Tune,Greve Kommune,Region Sjælland,2021,1100.0,1300.0,0.0,0.0,,,0.0,0.0,332.0,5226.0,2120.9,9.0,43.0,1748.888888888889,1664.1024941724927
317,Brædstrup,Horsens Kommune,Region Midtjylland,2021,1100.0,1300.0,0.0,0.0,,,0.0,0.0,286.0,3736.0,1315.0,24.0,62.0,810.75,774.6914252448042
