,City,Municipality,Region,year,FB_audience_size_lower_bound,FB_audience_size_upper_bound,Trends_slope,Trends_intercept,Trends_regression_R2,Trends_regression_R2_adj,Trends_mean,Trends_is_trending,DST_EV_population,DST_population_size,DST_population_density,Plugshare_count_of_stations,Plugshare_count_of_plugs,Plugshare_closest_in_meters,Plugshare_closest_in_meters_std
108,Helsingør,Helsingør Kommune,Region Hovedstaden,2021,4700.0,5600.0,0.2439899497032852,13.273895537825052,0.6733080282810495,0.6662060288958549,19.25164930555556,1.0,339.0,47389.0,2647.6,12.0,43.0,1610.5833333333333,2388.6730610161453
109,Birkerød,Rudersdal Kommune,Region Hovedstaden,2021,2000.0,2400.0,0.4252378238529449,18.995666371158386,0.6056333284039335,0.5970601398909754,29.413993055555554,1.0,805.0,20864.0,2299.1,19.0,90.0,928.2631578947368,858.7750217674568
110,Dragør,Dragør Kommune,Region Hovedstaden,2021,2600.0,3000.0,0.248836390939354,24.046008421985807,0.479460192328157,0.4681441095526821,30.1425,1.0,112.0,12349.0,2616.3,4.0,17.0,718.25,202.94231528523895
111,Farum,Furesø Kommune,Region Hovedstaden,2021,2300.0,2700.0,0.2461053969460119,18.864775413711588,0.4214540031221866,0.4088769162335384,24.89435763888889,1.0,303.0,20199.0,2629.1,11.0,52.0,1205.090909090909,1310.7798026019057
112,Fredensborg,Fredensborg Kommune,Region Hovedstaden,2021,1800.0,2100.0,0.077919651903314,31.93419769503545,0.0331871367023697,0.0121694657611167,33.84322916666667,0.0,285.0,8792.0,1837.4,5.0,14.0,1266.2,1251.4903914932786
113,Frederikssund,Frederikssund Kommune,Region Hovedstaden,2021,6000.0,7100.0,0.0718307642205815,26.85740322104018,0.0778925376581628,0.0578467232594271,28.61725694444445,0.0,280.0,16614.0,2034.8,12.0,31.0,2861.833333333333,4679.474753612521
119,Hadsten,Favrskov Kommune,Region Midtjylland,2021,1500.0,1700.0,0.5364412812997537,13.282900413711578,0.7570520651755865,0.7517705883315775,26.425711805555554,1.0,243.0,8257.0,1518.1,8.0,9.0,5069.625,3537.195537125018
120,Haslev,Faxe Kommune,Region Sjælland,2021,1900.0,2300.0,0.2441173650311183,18.312596778959808,0.4411790100970519,0.4290307277078573,24.29347222222222,1.0,144.0,12040.0,1786.9,6.0,17.0,5659.166666666667,3001.9540580539647
124,Lystrup,Aarhus Kommune,Region Midtjylland,2021,1400.0,1600.0,0.2066010819221301,20.884697104018905,0.3455416976539821,0.3313143432551556,25.946423611111104,0.0,1472.0,10392.0,2024.2,100.0,378.0,1157.33,1291.039140273126
126,Nørresundby,Aalborg Kommune,Region Nordjylland,2021,3000.0,3600.0,0.2089495133159643,16.6561015070922,0.4975664328886134,0.4866439640383658,21.77536458333333,1.0,662.0,23718.0,2236.5,46.0,154.0,1538.8478260869565,3689.8555465094128
127,Nykøbing F,Guldborgsund Kommune,Region Sjælland,2021,3200.0,3800.0,0.1845617582139235,15.34061539598108,0.2077882503933443,0.1905662558366778,19.862378472222225,0.0,142.0,16980.0,2120.1,27.0,78.0,3831.6296296296296,4949.844155651989
130,Solrød Strand,Solrød Kommune,Region Sjælland,2021,2200.0,2600.0,0.3252331198436818,13.333663563829782,0.4895448310550324,0.4784479795562287,21.301875,1.0,179.0,17002.0,2599.7,,,,
131,Sorø,Sorø Kommune,Region Sjælland,2021,3900.0,4500.0,0.3284496671008825,17.850656767139473,0.6424049922713466,0.6346311877555063,25.897673611111117,1.0,104.0,8035.0,1475.7,7.0,24.0,7641.0,8621.7850239959
132,Vordingborg,Vordingborg Kommune,Region Sjælland,2021,1800.0,2100.0,0.1521769159791574,18.695502364066183,0.1303314397846893,0.1114256015191389,22.42383680555556,0.0,154.0,11973.0,1484.9,18.0,45.0,2550.9444444444443,2459.286373588945
133,Værløse,Furesø Kommune,Region Hovedstaden,2021,1600.0,1900.0,0.1829718030829346,24.767867907801403,0.3774414931065236,0.3639076125218827,29.250677083333333,0.0,303.0,13022.0,2561.9,11.0,52.0,1205.090909090909,1310.7798026019057
137,Bjerringbro,Viborg Kommune,Region Midtjylland,2021,1500.0,1700.0,0.3038991713706755,12.65433141252954,0.8008204379156787,0.7964904474355847,20.09986111111111,1.0,314.0,7379.0,1163.3,33.0,92.0,2272.4242424242425,4487.754686577013
138,Hinnerup,Favrskov Kommune,Region Midtjylland,2021,1200.0,1400.0,0.5724838525835864,15.504996306146566,0.8807133746098995,0.878120187101419,29.53085069444445,1.0,243.0,8012.0,1853.3,8.0,9.0,5069.625,3537.195537125018
139,Nyborg,Nyborg Kommune,Region Syddanmark,2021,4200.0,5000.0,0.3035254287885364,15.384304078014177,0.59809191870718,0.5893547865051622,22.820677083333333,1.0,92.0,17415.0,1549.5,14.0,60.0,946.4285714285714,1877.4700945804584
141,Køge,Køge Kommune,Region Sjælland,2021,4900.0,5700.0,0.2896684125777967,18.85133569739952,0.3817895580716742,0.3683502006384497,25.948211805555555,0.0,337.0,38155.0,2054.3,15.0,109.0,1276.1333333333334,2353.910207859821
145,Ishøj,Ishøj Kommune,Region Hovedstaden,2021,3100.0,3700.0,0.3255879559270511,17.235647163120554,0.7032192559616379,0.6967675006564561,25.212552083333332,1.0,67.0,21019.0,3830.0,4.0,9.0,1694.5,1978.3416455877043
148,Billund,Billund Kommune,Region Syddanmark,2021,2300.0,2700.0,0.4979530322767401,17.313657653664297,0.5777703609592023,0.5685914557626632,29.513506944444444,1.0,81.0,6643.0,802.8,21.0,74.0,1525.3333333333333,2696.430721033517
149,Ikast,Ikast-Brande Kommune,Region Midtjylland,2021,6000.0,7100.0,0.3107353180633951,12.781515957446809,0.7551197411837667,0.7497962572964572,20.39453125,1.0,129.0,15783.0,1392.0,10.0,26.0,2722.6,5617.273205628036
154,Vojens,Haderslev Kommune,Region Syddanmark,2021,1900.0,2200.0,0.3776697966420607,16.256326093380608,0.8091957861681346,0.8050478684761375,25.50923611111111,1.0,138.0,7412.0,1157.8,17.0,54.0,3619.058823529412,4518.725061765048
155,Ribe,Esbjerg Kommune,Region Syddanmark,2021,1700.0,2000.0,0.2505809451440146,13.961947399527183,0.5905613910094821,0.5816605516836013,20.101180555555555,1.0,254.0,8287.0,1138.8,30.0,142.0,9682.066666666668,28800.684359605228
173,Ringkøbing,Ringkøbing-Skjern Kommune,Region Midtjylland,2021,7600.0,8900.0,0.2148463507743517,17.24034426713948,0.3406904709615008,0.3263576551128377,22.50407986111111,0.0,127.0,9889.0,1395.0,33.0,94.0,2936.4242424242425,3411.523780056932
185,Vildbjerg,Herning Kommune,Region Midtjylland,2021,1000.0,1100.0,0.2826440150528293,15.580777186761228,0.5138064949682843,0.5032370709458557,22.50555555555556,1.0,264.0,4017.0,1046.6,17.0,63.0,4295.470588235294,4539.9440266049405
186,Sunds,Herning Kommune,Region Midtjylland,2021,1000.0,1200.0,0.0571405503690836,16.50132387706855,0.0638352943091812,0.0434838876637285,17.90126736111111,0.0,264.0,4235.0,1223.6,17.0,63.0,4295.470588235294,4539.9440266049405
190,Aabybro,Jammerbugt Kommune,Region Nordjylland,2021,1400.0,1600.0,0.3433114868287737,15.597288711583914,0.5175663862793383,0.5070786990245413,24.00842013888889,1.0,108.0,6274.0,1424.6,18.0,47.0,2238.4444444444443,2883.752482285012
191,Kjellerup,Silkeborg Kommune,Region Midtjylland,2021,1600.0,1800.0,0.212670475104935,30.78493794326241,0.3539901773039947,0.3399464855062554,35.995364583333334,0.0,403.0,5034.0,1332.8,40.0,105.0,1775.35,2555.602217652777
193,Grindsted,Billund Kommune,Region Syddanmark,2021,1400.0,1700.0,0.1805699540454476,13.592789598108745,0.4238569312533119,0.4113320819327317,18.016753472222224,1.0,81.0,9761.0,1152.0,21.0,74.0,1525.3333333333333,2696.430721033517
194,Hammel,Favrskov Kommune,Region Midtjylland,2021,1000.0,1100.0,0.4113417281806334,18.244940159574465,0.8233138551144993,0.8194728519648145,28.3228125,1.0,243.0,6927.0,1328.3,8.0,9.0,5069.625,3537.195537125018
195,Stavtrup,Aarhus Kommune,Region Midtjylland,2021,1600.0,1900.0,0.2475492111738308,22.203134604018903,0.2817450457087601,0.266130807571994,28.268090277777777,0.0,1472.0,0.0,0.0,100.0,378.0,1157.33,1291.039140273126
200,Hedensted,Hedensted Kommune,Region Midtjylland,2021,6600.0,7800.0,0.3715739434071495,16.287028664302596,0.7590111966491996,0.7537723096198343,25.39059027777778,1.0,155.0,12107.0,1138.8,9.0,63.0,4897.777777777777,3865.626559103252
201,Struer,Struer Kommune,Region Midtjylland,2021,2800.0,3300.0,0.2636325806918508,13.095342050827412,0.7917090666650193,0.7871810028968675,19.55434027777778,1.0,67.0,10175.0,1413.4,9.0,39.0,440.55555555555554,563.8262389936972
202,Børkop,Vejle Kommune,Region Syddanmark,2021,1500.0,1700.0,0.5073695994355185,12.413906619385338,0.8680989431090573,0.8652315288288195,24.84446180555556,1.0,500.0,6071.0,1623.7,43.0,155.0,1853.441860465116,2412.2792847698606
207,Vamdrup,Kolding Kommune,Region Syddanmark,2021,1200.0,1400.0,0.2784209455058615,14.084780585106383,0.3789634577215756,0.3654626633242185,20.90609375,0.0,347.0,4844.0,1092.0,20.0,71.0,1800.7,2520.9529756152056
227,Støvring,Rebild Kommune,Region Nordjylland,2021,1200.0,1400.0,0.2660797510493555,20.052365543735213,0.6395155337793754,0.6316789149484923,26.57131944444444,1.0,169.0,8865.0,1441.5,11.0,64.0,2343.3636363636365,2987.976481591757
228,Faaborg,Faaborg-Midtfyn Kommune,Region Syddanmark,2021,6900.0,8200.0,0.6021845147633517,8.539864804964534,0.8829989580767499,0.8804554571653749,23.293385416666663,1.0,167.0,6966.0,1530.7,5.0,17.0,3179.6,3400.117468558991
235,Ebeltoft,Syddjurs Kommune,Region Midtjylland,2021,1100.0,1300.0,0.2155147723983209,17.03101654846335,0.6434250055437762,0.6356733752295105,22.311128472222222,1.0,215.0,7220.0,996.4,21.0,48.0,3456.714285714286,2395.413766823117
238,Hedehusene,Høje-Taastrup Kommune,Region Hovedstaden,2021,1700.0,2000.0,0.3043830058619188,22.76207816193853,0.6347091891098879,0.6267680845253203,30.21946180555556,1.0,166.0,12874.0,1976.7,18.0,102.0,593.0,445.4825539595832
239,Nakskov,Lolland Kommune,Region Sjælland,2021,1600.0,1900.0,0.1444491333767546,14.60212470449172,0.3774524796184717,0.3639188378710472,18.141128472222224,0.0,76.0,12546.0,1441.2,8.0,25.0,5724.0,4044.132433891989
241,Hornslet,Syddjurs Kommune,Region Midtjylland,2021,1100.0,1300.0,0.5831198436821534,16.062869385342772,0.6211110315142958,0.6128743148080849,30.34930555555556,1.0,215.0,6031.0,1812.7,21.0,48.0,3456.714285714286,2395.413766823117
246,Lemvig,Lemvig Kommune,Region Midtjylland,2021,2700.0,3100.0,0.1565360399478937,14.371950354609924,0.301765242342745,0.286586225871935,18.207083333333333,0.0,39.0,6852.0,1400.9,6.0,17.0,1625.3333333333333,216.1468636521628
248,Aars,Vesthimmerlands Kommune,Region Nordjylland,2021,1900.0,2200.0,0.1445287396873641,13.038889627659568,0.5643978914683792,0.5549282804133439,16.57984375,1.0,109.0,8427.0,1383.7,14.0,36.0,1453.571428571429,2442.4603520689075
250,Espergærde,Helsingør Kommune,Region Hovedstaden,2021,1700.0,2000.0,0.1801014528151683,23.301385933806145,0.306839808841824,0.2917711090340376,27.71387152777778,0.0,339.0,0.0,0.0,12.0,43.0,1610.5833333333333,2388.6730610161453
