"","Region/city","year","sales"
"252","Middelfart","2021",189
"253","Nordfyns","2018",14
"254","Nordfyns","2019",20
"255","Nordfyns","2020",43
"256","Nordfyns","2021",88
"257","Nyborg","2018",21
"258","Nyborg","2019",25
"259","Nyborg","2020",45
"260","Nyborg","2021",92
"261","Odense","2018",138
"262","Odense","2019",157
"263","Odense","2020",269
"264","Odense","2021",556
"265","Svendborg","2018",58
"266","Svendborg","2019",85
"267","Svendborg","2020",135
"268","Svendborg","2021",266
"269","Ærø","2018",2
"270","Ærø","2019",4
"271","Ærø","2020",9
"272","Ærø","2021",18
"273","Landsdel Sydjylland","2018",459
"274","Landsdel Sydjylland","2019",577
"275","Landsdel Sydjylland","2020",999
"276","Landsdel Sydjylland","2021",2274
"277","Billund","2018",11
"278","Billund","2019",23
"279","Billund","2020",43
"280","Billund","2021",81
"281","Esbjerg","2018",59
"282","Esbjerg","2019",69
"283","Esbjerg","2020",109
"284","Esbjerg","2021",254
"285","Fanø","2018",2
"286","Fanø","2019",2
"287","Fanø","2020",6
"288","Fanø","2021",11
"289","Fredericia","2018",39
"290","Fredericia","2019",46
"291","Fredericia","2020",81
"292","Fredericia","2021",182
"293","Haderslev","2018",29
"294","Haderslev","2019",38
"295","Haderslev","2020",58
"296","Haderslev","2021",138
"297","Kolding","2018",54
"298","Kolding","2019",72
"299","Kolding","2020",143
"300","Kolding","2021",347
"301","Sønderborg","2018",70
"302","Sønderborg","2019",68
"303","Sønderborg","2020",113
"304","Sønderborg","2021",263
"305","Tønder","2018",14
"306","Tønder","2019",18
"307","Tønder","2020",37
"308","Tønder","2021",80
"309","Varde","2018",27
"310","Varde","2019",32
"311","Varde","2020",65
"312","Varde","2021",135
"313","Vejen","2018",24
"314","Vejen","2019",35
"315","Vejen","2020",60
"316","Vejen","2021",118
"317","Vejle","2018",96
"318","Vejle","2019",129
"319","Vejle","2020",210
"320","Vejle","2021",500
"321","Aabenraa","2018",34
"322","Aabenraa","2019",45
"323","Aabenraa","2020",74
"324","Aabenraa","2021",165
"325","Region Midtjylland","2018",1114
"326","Region Midtjylland","2019",1347
"327","Region Midtjylland","2020",2323
"328","Region Midtjylland","2021",4863
"329","Landsdel Østjylland","2018",822
"330","Landsdel Østjylland","2019",997
"331","Landsdel Østjylland","2020",1721
"332","Landsdel Østjylland","2021",3694
"333","Favrskov","2018",65
"334","Favrskov","2019",83
"335","Favrskov","2020",134
"336","Favrskov","2021",243
"337","Hedensted","2018",44
"338","Hedensted","2019",49
"339","Hedensted","2020",69
"340","Hedensted","2021",155
"341","Horsens","2018",67
"342","Horsens","2019",82
"343","Horsens","2020",135
"344","Horsens","2021",286
"345","Norddjurs","2018",15
"346","Norddjurs","2019",20
"347","Norddjurs","2020",39
"348","Norddjurs","2021",97
"349","Odder","2018",14
"350","Odder","2019",21
"351","Odder","2020",42
"352","Odder","2021",101
"353","Randers","2018",60
"354","Randers","2019",79
"355","Randers","2020",130
"356","Randers","2021",305
"357","Samsø","2018",17
"358","Samsø","2019",15
"359","Samsø","2020",22
"360","Samsø","2021",30
"361","Silkeborg","2018",84
"362","Silkeborg","2019",110
"363","Silkeborg","2020",174
"364","Silkeborg","2021",403
"365","Skanderborg","2018",81
"366","Skanderborg","2019",99
"367","Skanderborg","2020",171
"368","Skanderborg","2021",387
"369","Syddjurs","2018",43
"370","Syddjurs","2019",47
"371","Syddjurs","2020",89
"372","Syddjurs","2021",215
"373","Aarhus","2018",332
"374","Aarhus","2019",392
"375","Aarhus","2020",716
"376","Aarhus","2021",1472
"377","Landsdel Vestjylland","2018",292
"378","Landsdel Vestjylland","2019",350
"379","Landsdel Vestjylland","2020",602
"380","Landsdel Vestjylland","2021",1169
"381","Herning","2018",59
"382","Herning","2019",72
"383","Herning","2020",144
"384","Herning","2021",264
"385","Holstebro","2018",30
"386","Holstebro","2019",36
"387","Holstebro","2020",57
"388","Holstebro","2021",133
"389","Ikast-Brande","2018",25
"390","Ikast-Brande","2019",29
"391","Ikast-Brande","2020",60
"392","Ikast-Brande","2021",129
"393","Lemvig","2018",18
"394","Lemvig","2019",17
"395","Lemvig","2020",28
"396","Lemvig","2021",39
"397","Ringkøbing-Skjern","2018",34
"398","Ringkøbing-Skjern","2019",42
"399","Ringkøbing-Skjern","2020",73
"400","Ringkøbing-Skjern","2021",127
"401","Skive","2018",26
"402","Skive","2019",26
"403","Skive","2020",43
"404","Skive","2021",96
"405","Struer","2018",20
"406","Struer","2019",25
"407","Struer","2020",40
"408","Struer","2021",67
"409","Viborg","2018",80
"410","Viborg","2019",103
"411","Viborg","2020",157
"412","Viborg","2021",314
"413","Region Nordjylland","2018",472
"414","Region Nordjylland","2019",566
"415","Region Nordjylland","2020",878
"416","Region Nordjylland","2021",1738
"417","Landsdel Nordjylland","2018",472
"418","Landsdel Nordjylland","2019",566
"419","Landsdel Nordjylland","2020",878
"420","Landsdel Nordjylland","2021",1738
"421","Brønderslev","2018",34
"422","Brønderslev","2019",39
"423","Brønderslev","2020",53
"424","Brønderslev","2021",120
"425","Frederikshavn","2018",46
"426","Frederikshavn","2019",45
"427","Frederikshavn","2020",65
"428","Frederikshavn","2021",138
"429","Hjørring","2018",46
"430","Hjørring","2019",49
"431","Hjørring","2020",87
"432","Hjørring","2021",144
"433","Jammerbugt","2018",22
"434","Jammerbugt","2019",40
"435","Jammerbugt","2020",58
"436","Jammerbugt","2021",108
"437","Læsø","2018",2
"438","Læsø","2019",3
"439","Læsø","2020",3
"440","Læsø","2021",5
"441","Mariagerfjord","2018",40
"442","Mariagerfjord","2019",53
"443","Mariagerfjord","2020",88
"444","Mariagerfjord","2021",153
"445","Morsø","2018",6
"446","Morsø","2019",8
"447","Morsø","2020",18
"448","Morsø","2021",33
"449","Rebild","2018",37
"450","Rebild","2019",48
"451","Rebild","2020",71
"452","Rebild","2021",169
"453","Thisted","2018",27
"454","Thisted","2019",33
"455","Thisted","2020",48
"456","Thisted","2021",97
"457","Vesthimmerlands","2018",24
"458","Vesthimmerlands","2019",36
"459","Vesthimmerlands","2020",51
"460","Vesthimmerlands","2021",109
"461","Aalborg","2018",188
"462","Aalborg","2019",212
"463","Aalborg","2020",336
"464","Aalborg","2021",662
"465","Uoplyst","2018",5
"466","Uoplyst","2019",9
"467","Uoplyst","2020",10
"468","Uoplyst","2021",16
