"","Area_ID","Area_name.x","year","pop","Area_name.y","pop_density"
"104",169,"Landdistrikter","2017",3777,"Landdistrikter",34.9
"105",171,"Dalby","2017",316,"Dalby",2038.7
"106",172,"Skibby","2017",3191,"Skibby",1738
"107",173,"Skuldelev","2017",882,"Skuldelev",1837.5
"108",174,"Ferslev","2017",256,"Ferslev",1049.2
"109",175,"Kyndby","2017",272,"Kyndby",1203.5
"110",176,"Venslev","2017",239,"Venslev",827
"111",177,"Slangerup","2017",6864,"Slangerup",2117.9
"112",178,"Græse","2017",2314,"Græse",3169.9
"113",179,"Jægerspris","2017",4226,"Jægerspris",1534.5
"114",180,"Sønderby","2017",295,"Sønderby",1031.5
"115",181,"Gerlev","2017",775,"Gerlev",1645.4
"116",182,"Landerslev","2017",254,"Landerslev",1854
"117",183,"Lyngerup","2017",233,"Lyngerup",1063.9
"118",184,"Frederikssund","2017",16186,"Frederikssund",1982.4
"119",185,"Jørlunde","2017",306,"Jørlunde",1436.6
"120",186,"Kyndby","2017",301,"Kyndby",1447.1
"121",187,"Store","2017",568,"Store",1938.6
"122",188,"Vellerup","2017",459,"Vellerup",276.3
"123",189,"Græse","2017",207,"Græse",1427.6
"124",190,"Dalby","2017",279,"Dalby",326.3
"125",191,"Kulhuse","2017",908,"Kulhuse",203.3
"126",192,"Over","2017",409,"Over",294
"127",194,"Landdistrikter","2017",5225,"Landdistrikter",23.7
"128",196,"Greve","2017",42701,"Greve",1953.4
"129",197,"Greve","2017",718,"Greve",1471.3
"130",198,"Tune","2017",5250,"Tune",2130.7
"131",199,"Kildebrønde","2017",357,"Kildebrønde",1040.8
"132",201,"Landdistrikter","2017",762,"Landdistrikter",21.6
"133",203,"Vemmedrup","2017",1663,"Vemmedrup",1242
"134",204,"Borup","2017",4628,"Borup",1775.2
"135",205,"Ejby","2017",3142,"Ejby",1811
"136",206,"Lellinge","2017",698,"Lellinge",1727.7
"137",207,"Algestrup","2017",887,"Algestrup",1777.6
"138",208,"Slimminge","2017",481,"Slimminge",1693.7
"139",209,"Bjæverskov","2017",2995,"Bjæverskov",1574.7
"140",210,"Nørre","2017",548,"Nørre",2099.6
"141",211,"Køge","2017",36864,"Køge",1987.7
"142",212,"Vedskølle","2017",283,"Vedskølle",1080.2
"143",213,"Lille","2017",1551,"Lille",1485.6
"144",216,"Landdistrikter","2017",6194,"Landdistrikter",27.2
"145",218,"Frederiksværk","2017",12368,"Frederiksværk",1499.7
"146",219,"Liseleje","2017",2556,"Liseleje",426.3
"147",220,"Vinderød","2017",1052,"Vinderød",1582
"148",221,"Ølsted","2017",1926,"Ølsted",1879
"149",222,"Hundested","2017",8588,"Hundested",1131.3
"150",223,"Torup","2017",355,"Torup",1207.5
"151",224,"Melby","2017",805,"Melby",1132.2
"152",225,"Evetofte","2017",374,"Evetofte",357.9
"153",227,"Ølsted","2017",217,"Ølsted",542.5
